Started Logging. 2022-07-09 16:46:15.803500

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.8690717220306396, -0.10092563182115555, 0.6974297165870667], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.822017192840576, 0.28548678755760193, 0.689725935459137], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.899418354034424, -0.2950078248977661, 0.3450469374656677], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [0.10558418184518814, -0.06812968850135803, 0.3417823314666748], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-3', 'position': [-1.3443247079849243, -0.24751660227775574, 0.3487945795059204], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [1.4602537155151367, -0.09497988224029541, 0.3477942943572998], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [-2.754608631134033, 0.0070903245359659195, 0.3455319404602051], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-1.3493106365203857, -0.05634117126464844, 0.3430546522140503], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [1.4999018907546997, 0.14401987195014954, 0.3470890522003174], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [2.910846471786499, 0.3180636465549469, 0.6937243938446045], 'color': 'gray', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
4.json in train
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [2.126912832260132, 0.2359376847743988, 0.34642738103866577], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [-2.1443259716033936, -0.013887896202504635, 0.347800612449646], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [2.126912832260132, 0.2359376847743988, 0.34642738103866577], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [0.028307102620601654, 0.18316203355789185, 0.7001586556434631], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.1443259716033936, -0.013887896202504635, 0.347800612449646], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [2.126912832260132, 0.2359376847743988, 0.34642738103866577], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.1443259716033936, -0.013887896202504635, 0.347800612449646], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [0.028307102620601654, 0.18316203355789185, 0.7001586556434631], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [0.028307102620601654, 0.18316203355789185, 0.7001586556434631], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-1', 'position': [-2.1443259716033936, -0.013887896202504635, 0.347800612449646], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [0.028307102620601654, 0.18316203355789185, 0.7001586556434631], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-0', 'position': [2.126912832260132, 0.2359376847743988, 0.34642738103866577], 'color': 'gray', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
5.json in test
THRESHOLD relate_behind objs = {'id': '5-0', 'position': [2.059596538543701, 0.17757278680801392, 0.690779983997345], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-1', 'position': [-2.3019602298736572, -0.014644752256572247, 0.7030512094497681], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-0', 'position': [2.059596538543701, 0.17757278680801392, 0.690779983997345], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [-0.10304070264101028, 0.11987971514463425, 0.3501501977443695], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.3019602298736572, -0.014644752256572247, 0.7030512094497681], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-0', 'position': [2.059596538543701, 0.17757278680801392, 0.690779983997345], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.3019602298736572, -0.014644752256572247, 0.7030512094497681], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [-0.10304070264101028, 0.11987971514463425, 0.3501501977443695], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [-0.10304070264101028, 0.11987971514463425, 0.3501501977443695], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-1', 'position': [-2.3019602298736572, -0.014644752256572247, 0.7030512094497681], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-2', 'position': [-0.10304070264101028, 0.11987971514463425, 0.3501501977443695], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-0', 'position': [2.059596538543701, 0.17757278680801392, 0.690779983997345], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
