Started Logging. 2022-07-09 14:17:28.758480

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
2.json in test
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-2.9416236877441406, -0.1957627236843109, 0.3535505533218384], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [1.4087029695510864, 0.025479689240455627, 0.35910436511039734], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.8414595127105713, 0.198003351688385, 0.3660367429256439], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-0.5817221999168396, -0.03808235377073288, 0.3895098567008972], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-2.849418878555298, -0.29188698530197144, 0.352109432220459], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.8561620712280273, 0.04133438318967819, 0.3689931035041809], 'color': 'green', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [0.03819664567708969, -0.10173869132995605, 0.35584741830825806], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.3671743869781494, 0.11988306790590286, 0.36405330896377563], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.4313641786575317, -0.0962788313627243, 0.3463262617588043], 'color': 'red', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [-2.8797097206115723, -0.14486926794052124, 0.35429319739341736], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [2.7147347927093506, 0.37960702180862427, 0.3997095227241516], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.7147347927093506, 0.37960702180862427, 0.3997095227241516], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.7147347927093506, 0.37960702180862427, 0.3997095227241516], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.8797097206115723, -0.14486926794052124, 0.35429319739341736], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.8797097206115723, -0.14486926794052124, 0.35429319739341736], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [-2.8797097206115723, -0.14486926794052124, 0.35429319739341736], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [1.318955421447754, 0.1356942355632782, 0.35993707180023193], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-0.15515536069869995, 0.10309373587369919, 0.4497969150543213], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [2.7147347927093506, 0.37960702180862427, 0.3997095227241516], 'color': 'cyan', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
5.json in train
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-2.836693525314331, -0.15267959237098694, 0.6963500380516052], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-1', 'position': [0.02405615895986557, -0.07454395294189453, 0.6892011761665344], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [0.02405615895986557, -0.07454395294189453, 0.6892011761665344], 'color': 'cyan', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [-2.836693525314331, -0.15267959237098694, 0.6963500380516052], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}
