Started Logging. 2022-07-09 16:28:23.126335

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.799168348312378, -0.11065273731946945, 0.6958128213882446], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.881315231323242, 0.23026490211486816, 0.6894766092300415], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.7907028198242188, -0.24204379320144653, 0.343950092792511], 'color': 'brown', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.7907028198242188, -0.24204379320144653, 0.343950092792511], 'color': 'brown', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [-2.7907028198242188, -0.24204379320144653, 0.343950092792511], 'color': 'brown', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [2.8337018489837646, 0.21272730827331543, 0.6913085579872131], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [-2.7907028198242188, -0.24204379320144653, 0.343950092792511], 'color': 'brown', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [2.8337018489837646, 0.21272730827331543, 0.6913085579872131], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [2.8337018489837646, 0.21272730827331543, 0.6913085579872131], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-1', 'position': [1.3324203491210938, 0.09957120567560196, 0.3461940288543701], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [2.8337018489837646, 0.21272730827331543, 0.6913085579872131], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-2', 'position': [-1.3949058055877686, -0.04862447828054428, 0.34079575538635254], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
4.json in train
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [0.04066064953804016, -0.00847339816391468, 0.6951491236686707], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-2', 'position': [-2.034928560256958, -0.057086020708084106, 0.345344603061676], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [0.04066064953804016, -0.00847339816391468, 0.6951491236686707], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-1', 'position': [2.1582462787628174, 0.12637412548065186, 0.34597334265708923], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.1582462787628174, 0.12637412548065186, 0.34597334265708923], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [0.04066064953804016, -0.00847339816391468, 0.6951491236686707], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.1582462787628174, 0.12637412548065186, 0.34597334265708923], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [-2.034928560256958, -0.057086020708084106, 0.345344603061676], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.034928560256958, -0.057086020708084106, 0.345344603061676], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [0.04066064953804016, -0.00847339816391468, 0.6951491236686707], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.034928560256958, -0.057086020708084106, 0.345344603061676], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [2.1582462787628174, 0.12637412548065186, 0.34597334265708923], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
5.json in test
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-1.9704936742782593, -0.23051634430885315, 0.6964197158813477], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-1', 'position': [2.2127747535705566, 0.057212360203266144, 0.6870508193969727], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-1.9704936742782593, -0.23051634430885315, 0.6964197158813477], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [0.19045038521289825, -0.08063729107379913, 0.3417685329914093], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [2.2127747535705566, 0.057212360203266144, 0.6870508193969727], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-0', 'position': [-1.9704936742782593, -0.23051634430885315, 0.6964197158813477], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [2.2127747535705566, 0.057212360203266144, 0.6870508193969727], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [0.19045038521289825, -0.08063729107379913, 0.3417685329914093], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [0.19045038521289825, -0.08063729107379913, 0.3417685329914093], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-0', 'position': [-1.9704936742782593, -0.23051634430885315, 0.6964197158813477], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-2', 'position': [0.19045038521289825, -0.08063729107379913, 0.3417685329914093], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-1', 'position': [2.2127747535705566, 0.057212360203266144, 0.6870508193969727], 'color': 'brown', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
