a b c | 1.1 2.1 3.1 d
a c e | 1.2 2.1 3.2 d
a c e | 1.3 2.1 3.1 d
a c e | 1.3 2.1 3.2 d
a c e | 1.1 2.2 3.1 d
a c e | 1.1 2.2 3.2 d
a c e | 1.2 2.2 3.1 d
a c e | 1.2 2.2 3.2 d
a c e | 1.3 2.2 3.1 d
a c e | 1.3 2.2 3.2 d
a c e | 1.1 2.1 3.1 f
a c e | 1.1 2.1 3.2 f
a c e | 1.2 2.1 3.1 f
a c e | 1.2 2.1 3.2 f
a c e | 1.3 2.1 3.1 f
a c e | 1.3 2.1 3.2 f
a c e | 1.1 2.2 3.1 f
a c e | 1.1 2.2 3.2 f
a c e | 1.2 2.2 3.1 f
a c e | 1.2 2.2 3.2 f
a c e | 1.3 2.2 3.1 f
a c e | 1.3 2.2 3.2 f
a c f | 1.1 2.1 3.1 b
a c f | 1.1 2.1 3.2 b
a c f | 1.2 2.1 3.1 b
a c f | 1.2 2.1 3.2 b
a c f | 1.3 2.1 3.1 b
a c f | 1.3 2.1 3.2 b
a c f | 1.1 2.2 3.1 b
a c f | 1.1 2.2 3.2 b
a c f | 1.2 2.2 3.1 b
a c f | 1.2 2.2 3.2 b
a c f | 1.3 2.2 3.1 b
a c f | 1.3 2.2 3.2 b
a c f | 1.1 2.1 3.1 d
a c f | 1.1 2.1 3.2 d
a c f | 1.2 2.1 3.1 d
a c f | 1.2 2.1 3.2 d
a c f | 1.3 2.1 3.1 d
a c f | 1.3 2.1 3.2 d
a c f | 1.1 2.2 3.1 d
a c f | 1.1 2.2 3.2 d
a c f | 1.2 2.2 3.1 d
a c f | 1.2 2.2 3.2 d
a c f | 1.3 2.2 3.1 d
a c f | 1.3 2.2 3.2 d
a c f | 1.1 2.1 3.1 e
a c f | 1.1 2.1 3.2 e
a c f | 1.2 2.1 3.1 e
a c f | 1.2 2.1 3.2 e
a c f | 1.3 2.1 3.1 e
a c f | 1.3 2.1 3.2 e
a c f | 1.1 2.2 3.1 e
a c f | 1.1 2.2 3.2 e
a c f | 1.2 2.2 3.1 e
a c f | 1.2 2.2 3.2 e
a c f | 1.3 2.2 3.1 e
a c f | 1.3 2.2 3.2 e
a d e | 1.1 2.1 3.1 b
a d e | 1.1 2.1 3.2 b
a d e | 1.2 2.1 3.1 b
a d e | 1.2 2.1 3.2 b
a d e | 1.3 2.1 3.1 b
a d e | 1.3 2.1 3.2 b
a d e | 1.1 2.2 3.1 b
a d e | 1.1 2.2 3.2 b
a d e | 1.2 2.2 3.1 b
a d e | 1.2 2.2 3.2 b
a d e | 1.3 2.2 3.1 b
a d e | 1.3 2.2 3.2 b
a d e | 1.1 2.1 3.1 c
a d e | 1.1 2.1 3.2 c
a d e | 1.2 2.1 3.1 c
a d e | 1.2 2.1 3.2 c
a d e | 1.3 2.1 3.1 c
a d e | 1.3 2.1 3.2 c
a d e | 1.1 2.2 3.1 c
a d e | 1.1 2.2 3.2 c
a d e | 1.2 2.2 3.1 c
a d e | 1.2 2.2 3.2 c
a d e | 1.3 2.2 3.1 c
a d e | 1.3 2.2 3.2 c
a d e | 1.1 2.1 3.1 f
a d e | 1.1 2.1 3.2 f
a d e | 1.2 2.1 3.1 f
a d e | 1.2 2.1 3.2 f
a d e | 1.3 2.1 3.1 f
a d e | 1.3 2.1 3.2 f
a d e | 1.1 2.2 3.1 f
a d e | 1.1 2.2 3.2 f
a d e | 1.2 2.2 3.1 f
a d e | 1.2 2.2 3.2 f
a d e | 1.3 2.2 3.1 f
a d e | 1.3 2.2 3.2 f
a d f | 1.1 2.1 3.1 b
a d f | 1.1 2.1 3.2 b
a d f | 1.2 2.1 3.1 b
a d f | 1.2 2.1 3.2 b
a d f | 1.3 2.1 3.1 b
a d f | 1.3 2.1 3.2 b
a d f | 1.1 2.2 3.1 b
a d f | 1.1 2.2 3.2 b
a d f | 1.2 2.2 3.1 b
a d f | 1.2 2.2 3.2 b
a d f | 1.3 2.2 3.1 b
a d f | 1.3 2.2 3.2 b
a d f | 1.1 2.1 3.1 c
a d f | 1.1 2.1 3.2 c
a d f | 1.2 2.1 3.1 c
a d f | 1.2 2.1 3.2 c
a d f | 1.3 2.1 3.1 c
a d f | 1.3 2.1 3.2 c
a d f | 1.1 2.2 3.1 c
a d f | 1.1 2.2 3.2 c
a d f | 1.2 2.2 3.1 c
a d f | 1.2 2.2 3.2 c
a d f | 1.3 2.2 3.1 c
a d f | 1.3 2.2 3.2 c
a d f | 1.1 2.1 3.1 e
a d f | 1.1 2.1 3.2 e
a d f | 1.2 2.1 3.1 e
a d f | 1.2 2.1 3.2 e
a d f | 1.3 2.1 3.1 e
a d f | 1.3 2.1 3.2 e
a d f | 1.1 2.2 3.1 e
a d f | 1.1 2.2 3.2 e
a d f | 1.2 2.2 3.1 e
a d f | 1.2 2.2 3.2 e
a d f | 1.3 2.2 3.1 e
a d f | 1.3 2.2 3.2 e
a e f | 1.1 2.1 3.1 b
a e f | 1.1 2.1 3.2 b
a e f | 1.2 2.1 3.1 b
a e f | 1.2 2.1 3.2 b
a e f | 1.3 2.1 3.1 b
a e f | 1.3 2.1 3.2 b
a e f | 1.1 2.2 3.1 b
a e f | 1.1 2.2 3.2 b
a e f | 1.2 2.2 3.1 b
a e f | 1.2 2.2 3.2 b
a e f | 1.3 2.2 3.1 b
a e f | 1.3 2.2 3.2 b
a e f | 1.1 2.1 3.1 c
a e f | 1.1 2.1 3.2 c
a e f | 1.2 2.1 3.1 c
a e f | 1.2 2.1 3.2 c
a e f | 1.3 2.1 3.1 c
a e f | 1.3 2.1 3.2 c
a e f | 1.1 2.2 3.1 c
a e f | 1.1 2.2 3.2 c
a e f | 1.2 2.2 3.1 c
a e f | 1.2 2.2 3.2 c
a e f | 1.3 2.2 3.1 c
a e f | 1.3 2.2 3.2 c
a e f | 1.1 2.1 3.1 d
a e f | 1.1 2.1 3.2 d
a e f | 1.2 2.1 3.1 d
a e f | 1.2 2.1 3.2 d
a e f | 1.3 2.1 3.1 d
a e f | 1.3 2.1 3.2 d
a e f | 1.1 2.2 3.1 d
a e f | 1.1 2.2 3.2 d
a e f | 1.2 2.2 3.1 d
a e f | 1.2 2.2 3.2 d
a e f | 1.3 2.2 3.1 d
a e f | 1.3 2.2 3.2 d
b c d | 1.1 2.1 3.1 a
b c d | 1.1 2.1 3.2 a
b c d | 1.2 2.1 3.1 a
b c d | 1.2 2.1 3.2 a
b c d | 1.3 2.1 3.1 a
b c d | 1.3 2.1 3.2 a
b c d | 1.1 2.2 3.1 a
b c d | 1.1 2.2 3.2 a
b c d | 1.2 2.2 3.1 a
b c d | 1.2 2.2 3.2 a
b c d | 1.3 2.2 3.1 a
b c d | 1.3 2.2 3.2 a
b c d | 1.1 2.1 3.1 e
b c d | 1.1 2.1 3.2 e
b c d | 1.2 2.1 3.1 e
b c d | 1.2 2.1 3.2 e
b c d | 1.3 2.1 3.1 e
b c d | 1.3 2.1 3.2 e
b c d | 1.1 2.2 3.1 e
b c d | 1.1 2.2 3.2 e
b c d | 1.2 2.2 3.1 e
b c d | 1.2 2.2 3.2 e
b c d | 1.3 2.2 3.1 e
b c d | 1.3 2.2 3.2 e
b c d | 1.1 2.1 3.1 f
b c d | 1.1 2.1 3.2 f
b c d | 1.2 2.1 3.1 f
b c d | 1.2 2.1 3.2 f
b c d | 1.3 2.1 3.1 f
b c d | 1.3 2.1 3.2 f
b c d | 1.1 2.2 3.1 f
b c d | 1.1 2.2 3.2 f
b c d | 1.2 2.2 3.1 f
b c d | 1.2 2.2 3.2 f
b c d | 1.3 2.2 3.1 f
b c d | 1.3 2.2 3.2 f
b c e | 1.1 2.1 3.1 a
b c e | 1.1 2.1 3.2 a
b c e | 1.2 2.1 3.1 a
b c e | 1.2 2.1 3.2 a
b c e | 1.3 2.1 3.1 a
b c e | 1.3 2.1 3.2 a
b c e | 1.1 2.2 3.1 a
b c e | 1.1 2.2 3.2 a
b c e | 1.2 2.2 3.1 a
b c e | 1.2 2.2 3.2 a
b c e | 1.3 2.2 3.1 a
b c e | 1.3 2.2 3.2 a
b c e | 1.1 2.1 3.1 d
b c e | 1.1 2.1 3.2 d
b c e | 1.2 2.1 3.1 d
b c e | 1.2 2.1 3.2 d
b c e | 1.3 2.1 3.1 d
b c e | 1.3 2.1 3.2 d
b c e | 1.1 2.2 3.1 d
b c e | 1.1 2.2 3.2 d
b c e | 1.2 2.2 3.1 d
b c e | 1.2 2.2 3.2 d
b c e | 1.3 2.2 3.1 d
b c e | 1.3 2.2 3.2 d
b c e | 1.1 2.1 3.1 f
b c e | 1.1 2.1 3.2 f
b c e | 1.2 2.1 3.1 f
b c e | 1.2 2.1 3.2 f
b c e | 1.3 2.1 3.1 f
b c e | 1.3 2.1 3.2 f
b c e | 1.1 2.2 3.1 f
b c e | 1.1 2.2 3.2 f
b c e | 1.2 2.2 3.1 f
b c e | 1.2 2.2 3.2 f
b c e | 1.3 2.2 3.1 f
b c e | 1.3 2.2 3.2 f
b c f | 1.1 2.1 3.1 a
b c f | 1.1 2.1 3.2 a
b c f | 1.2 2.1 3.1 a
b c f | 1.2 2.1 3.2 a
b c f | 1.3 2.1 3.1 a
b c f | 1.3 2.1 3.2 a
b c f | 1.1 2.2 3.1 a
b c f | 1.1 2.2 3.2 a
b c f | 1.2 2.2 3.1 a
b c f | 1.2 2.2 3.2 a
b c f | 1.3 2.2 3.1 a
b c f | 1.3 2.2 3.2 a
b c f | 1.1 2.1 3.1 d
b c f | 1.1 2.1 3.2 d
b c f | 1.2 2.1 3.1 d
b c f | 1.2 2.1 3.2 d
b c f | 1.3 2.1 3.1 d
b c f | 1.3 2.1 3.2 d
b c f | 1.1 2.2 3.1 d
b c f | 1.1 2.2 3.2 d
b c f | 1.2 2.2 3.1 d
b c f | 1.2 2.2 3.2 d
b c f | 1.3 2.2 3.1 d
b c f | 1.3 2.2 3.2 d
b c f | 1.1 2.1 3.1 e
b c f | 1.1 2.1 3.2 e
b c f | 1.2 2.1 3.1 e
b c f | 1.2 2.1 3.2 e
b c f | 1.3 2.1 3.1 e
b c f | 1.3 2.1 3.2 e
b c f | 1.1 2.2 3.1 e
b c f | 1.1 2.2 3.2 e
b c f | 1.2 2.2 3.1 e
b c f | 1.2 2.2 3.2 e
b c f | 1.3 2.2 3.1 e
b c f | 1.3 2.2 3.2 e
b d e | 1.1 2.1 3.1 a
b d e | 1.1 2.1 3.2 a
b d e | 1.2 2.1 3.1 a
b d e | 1.2 2.1 3.2 a
b d e | 1.3 2.1 3.1 a
b d e | 1.3 2.1 3.2 a
b d e | 1.1 2.2 3.1 a
b d e | 1.1 2.2 3.2 a
b d e | 1.2 2.2 3.1 a
b d e | 1.2 2.2 3.2 a
b d e | 1.3 2.2 3.1 a
b d e | 1.3 2.2 3.2 a
b d e | 1.1 2.1 3.1 c
b d e | 1.1 2.1 3.2 c
b d e | 1.2 2.1 3.1 c
b d e | 1.2 2.1 3.2 c
b d e | 1.3 2.1 3.1 c
b d e | 1.3 2.1 3.2 c
b d e | 1.1 2.2 3.1 c
b d e | 1.1 2.2 3.2 c
b d e | 1.2 2.2 3.1 c
b d e | 1.2 2.2 3.2 c
b d e | 1.3 2.2 3.1 c
b d e | 1.3 2.2 3.2 c
b d e | 1.1 2.1 3.1 f
b d e | 1.1 2.1 3.2 f
b d e | 1.2 2.1 3.1 f
b d e | 1.2 2.1 3.2 f
b d e | 1.3 2.1 3.1 f
b d e | 1.3 2.1 3.2 f
b d e | 1.1 2.2 3.1 f
b d e | 1.1 2.2 3.2 f
b d e | 1.2 2.2 3.1 f
b d e | 1.2 2.2 3.2 f
b d e | 1.3 2.2 3.1 f
b d e | 1.3 2.2 3.2 f
b d f | 1.1 2.1 3.1 a
b d f | 1.1 2.1 3.2 a
b d f | 1.2 2.1 3.1 a
b d f | 1.2 2.1 3.2 a
b d f | 1.3 2.1 3.1 a
b d f | 1.3 2.1 3.2 a
b d f | 1.1 2.2 3.1 a
b d f | 1.1 2.2 3.2 a
b d f | 1.2 2.2 3.1 a
b d f | 1.2 2.2 3.2 a
b d f | 1.3 2.2 3.1 a
b d f | 1.3 2.2 3.2 a
b d f | 1.1 2.1 3.1 c
b d f | 1.1 2.1 3.2 c
b d f | 1.2 2.1 3.1 c
b d f | 1.2 2.1 3.2 c
b d f | 1.3 2.1 3.1 c
b d f | 1.3 2.1 3.2 c
b d f | 1.1 2.2 3.1 c
b d f | 1.1 2.2 3.2 c
b d f | 1.2 2.2 3.1 c
b d f | 1.2 2.2 3.2 c
b d f | 1.3 2.2 3.1 c
b d f | 1.3 2.2 3.2 c
b d f | 1.1 2.1 3.1 e
b d f | 1.1 2.1 3.2 e
b d f | 1.2 2.1 3.1 e
b d f | 1.2 2.1 3.2 e
b d f | 1.3 2.1 3.1 e
b d f | 1.3 2.1 3.2 e
b d f | 1.1 2.2 3.1 e
b d f | 1.1 2.2 3.2 e
b d f | 1.2 2.2 3.1 e
b d f | 1.2 2.2 3.2 e
b d f | 1.3 2.2 3.1 e
b d f | 1.3 2.2 3.2 e
b e f | 1.1 2.1 3.1 a
b e f | 1.1 2.1 3.2 a
b e f | 1.2 2.1 3.1 a
b e f | 1.2 2.1 3.2 a
b e f | 1.3 2.1 3.1 a
b e f | 1.3 2.1 3.2 a
b e f | 1.1 2.2 3.1 a
b e f | 1.1 2.2 3.2 a
b e f | 1.2 2.2 3.1 a
b e f | 1.2 2.2 3.2 a
b e f | 1.3 2.2 3.1 a
b e f | 1.3 2.2 3.2 a
b e f | 1.1 2.1 3.1 c
b e f | 1.1 2.1 3.2 c
b e f | 1.2 2.1 3.1 c
b e f | 1.2 2.1 3.2 c
b e f | 1.3 2.1 3.1 c
b e f | 1.3 2.1 3.2 c
b e f | 1.1 2.2 3.1 c
b e f | 1.1 2.2 3.2 c
b e f | 1.2 2.2 3.1 c
b e f | 1.2 2.2 3.2 c
b e f | 1.3 2.2 3.1 c
b e f | 1.3 2.2 3.2 c
b e f | 1.1 2.1 3.1 d
b e f | 1.1 2.1 3.2 d
b e f | 1.2 2.1 3.1 d
b e f | 1.2 2.1 3.2 d
b e f | 1.3 2.1 3.1 d
b e f | 1.3 2.1 3.2 d
b e f | 1.1 2.2 3.1 d
b e f | 1.1 2.2 3.2 d
b e f | 1.2 2.2 3.1 d
b e f | 1.2 2.2 3.2 d
b e f | 1.3 2.2 3.1 d
b e f | 1.3 2.2 3.2 d
c d e | 1.1 2.1 3.1 a
c d e | 1.1 2.1 3.2 a
c d e | 1.2 2.1 3.1 a
c d e | 1.2 2.1 3.2 a
c d e | 1.3 2.1 3.1 a
c d e | 1.3 2.1 3.2 a
c d e | 1.1 2.2 3.1 a
c d e | 1.1 2.2 3.2 a
c d e | 1.2 2.2 3.1 a
c d e | 1.2 2.2 3.2 a
c d e | 1.3 2.2 3.1 a
c d e | 1.3 2.2 3.2 a
c d e | 1.1 2.1 3.1 b
c d e | 1.1 2.1 3.2 b
c d e | 1.2 2.1 3.1 b
c d e | 1.2 2.1 3.2 b
c d e | 1.3 2.1 3.1 b
c d e | 1.3 2.1 3.2 b
c d e | 1.1 2.2 3.1 b
c d e | 1.1 2.2 3.2 b
c d e | 1.2 2.2 3.1 b
c d e | 1.2 2.2 3.2 b
c d e | 1.3 2.2 3.1 b
c d e | 1.3 2.2 3.2 b
c d e | 1.1 2.1 3.1 f
c d e | 1.1 2.1 3.2 f
c d e | 1.2 2.1 3.1 f
c d e | 1.2 2.1 3.2 f
c d e | 1.3 2.1 3.1 f
c d e | 1.3 2.1 3.2 f
c d e | 1.1 2.2 3.1 f
c d e | 1.1 2.2 3.2 f
c d e | 1.2 2.2 3.1 f
c d e | 1.2 2.2 3.2 f
c d e | 1.3 2.2 3.1 f
c d e | 1.3 2.2 3.2 f
c d f | 1.1 2.1 3.1 a
c d f | 1.1 2.1 3.2 a
c d f | 1.2 2.1 3.1 a
c d f | 1.2 2.1 3.2 a
c d f | 1.3 2.1 3.1 a
c d f | 1.3 2.1 3.2 a
c d f | 1.1 2.2 3.1 a
c d f | 1.1 2.2 3.2 a
c d f | 1.2 2.2 3.1 a
c d f | 1.2 2.2 3.2 a
c d f | 1.3 2.2 3.1 a
c d f | 1.3 2.2 3.2 a
c d f | 1.1 2.1 3.1 b
c d f | 1.1 2.1 3.2 b
c d f | 1.2 2.1 3.1 b
c d f | 1.2 2.1 3.2 b
c d f | 1.3 2.1 3.1 b
c d f | 1.3 2.1 3.2 b
c d f | 1.1 2.2 3.1 b
c d f | 1.1 2.2 3.2 b
c d f | 1.2 2.2 3.1 b
c d f | 1.2 2.2 3.2 b
c d f | 1.3 2.2 3.1 b
c d f | 1.3 2.2 3.2 b
c d f | 1.1 2.1 3.1 e
c d f | 1.1 2.1 3.2 e
c d f | 1.2 2.1 3.1 e
c d f | 1.2 2.1 3.2 e
c d f | 1.3 2.1 3.1 e
c d f | 1.3 2.1 3.2 e
c d f | 1.1 2.2 3.1 e
c d f | 1.1 2.2 3.2 e
c d f | 1.2 2.2 3.1 e
c d f | 1.2 2.2 3.2 e
c d f | 1.3 2.2 3.1 e
c d f | 1.3 2.2 3.2 e
c e f | 1.1 2.1 3.1 a
c e f | 1.1 2.1 3.2 a
c e f | 1.2 2.1 3.1 a
c e f | 1.2 2.1 3.2 a
c e f | 1.3 2.1 3.1 a
c e f | 1.3 2.1 3.2 a
c e f | 1.1 2.2 3.1 a
c e f | 1.1 2.2 3.2 a
c e f | 1.2 2.2 3.1 a
c e f | 1.2 2.2 3.2 a
c e f | 1.3 2.2 3.1 a
c e f | 1.3 2.2 3.2 a
c e f | 1.1 2.1 3.1 b
c e f | 1.1 2.1 3.2 b
c e f | 1.2 2.1 3.1 b
c e f | 1.2 2.1 3.2 b
c e f | 1.3 2.1 3.1 b
c e f | 1.3 2.1 3.2 b
c e f | 1.1 2.2 3.1 b
c e f | 1.1 2.2 3.2 b
c e f | 1.2 2.2 3.1 b
c e f | 1.2 2.2 3.2 b
c e f | 1.3 2.2 3.1 b
c e f | 1.3 2.2 3.2 b
c e f | 1.1 2.1 3.1 d
c e f | 1.1 2.1 3.2 d
c e f | 1.2 2.1 3.1 d
c e f | 1.2 2.1 3.2 d
c e f | 1.3 2.1 3.1 d
c e f | 1.3 2.1 3.2 d
c e f | 1.1 2.2 3.1 d
c e f | 1.1 2.2 3.2 d
c e f | 1.2 2.2 3.1 d
c e f | 1.2 2.2 3.2 d
c e f | 1.3 2.2 3.1 d
c e f | 1.3 2.2 3.2 d
d e f | 1.1 2.1 3.1 a
d e f | 1.1 2.1 3.2 a
d e f | 1.2 2.1 3.1 a
d e f | 1.2 2.1 3.2 a
d e f | 1.3 2.1 3.1 a
d e f | 1.3 2.1 3.2 a
d e f | 1.1 2.2 3.1 a
d e f | 1.1 2.2 3.2 a
d e f | 1.2 2.2 3.1 a
d e f | 1.2 2.2 3.2 a
d e f | 1.3 2.2 3.1 a
d e f | 1.3 2.2 3.2 a
d e f | 1.1 2.1 3.1 b
d e f | 1.1 2.1 3.2 b
d e f | 1.2 2.1 3.1 b
d e f | 1.2 2.1 3.2 b
d e f | 1.3 2.1 3.1 b
d e f | 1.3 2.1 3.2 b
d e f | 1.1 2.2 3.1 b
d e f | 1.1 2.2 3.2 b
d e f | 1.2 2.2 3.1 b
d e f | 1.2 2.2 3.2 b
d e f | 1.3 2.2 3.1 b
d e f | 1.3 2.2 3.2 b
d e f | 1.1 2.1 3.1 c
d e f | 1.1 2.1 3.2 c
d e f | 1.2 2.1 3.1 c
d e f | 1.2 2.1 3.2 c
d e f | 1.3 2.1 3.1 c
d e f | 1.3 2.1 3.2 c
d e f | 1.1 2.2 3.1 c
d e f | 1.1 2.2 3.2 c
d e f | 1.2 2.2 3.1 c
d e f | 1.2 2.2 3.2 c
d e f | 1.3 2.2 3.1 c
d e f | 1.3 2.2 3.2 c
