a b c | 1.1 2.1 3.1 d
b d e | 1.2 2.1 3.2 a
b d e | 1.3 2.1 3.1 a
b d e | 1.3 2.1 3.2 a
b d e | 1.1 2.2 3.1 a
b d e | 1.1 2.2 3.2 a
b d e | 1.2 2.2 3.1 a
b d e | 1.2 2.2 3.2 a
b d e | 1.3 2.2 3.1 a
b d e | 1.3 2.2 3.2 a
b d e | 1.1 2.1 3.1 c
b d e | 1.1 2.1 3.2 c
b d e | 1.2 2.1 3.1 c
b d e | 1.2 2.1 3.2 c
b d e | 1.3 2.1 3.1 c
b d e | 1.3 2.1 3.2 c
b d e | 1.1 2.2 3.1 c
b d e | 1.1 2.2 3.2 c
b d e | 1.2 2.2 3.1 c
b d e | 1.2 2.2 3.2 c
b d e | 1.3 2.2 3.1 c
b d e | 1.3 2.2 3.2 c
c d e | 1.1 2.1 3.1 a
c d e | 1.1 2.1 3.2 a
c d e | 1.2 2.1 3.1 a
c d e | 1.2 2.1 3.2 a
c d e | 1.3 2.1 3.1 a
c d e | 1.3 2.1 3.2 a
c d e | 1.1 2.2 3.1 a
c d e | 1.1 2.2 3.2 a
c d e | 1.2 2.2 3.1 a
c d e | 1.2 2.2 3.2 a
c d e | 1.3 2.2 3.1 a
c d e | 1.3 2.2 3.2 a
c d e | 1.1 2.1 3.1 b
c d e | 1.1 2.1 3.2 b
c d e | 1.2 2.1 3.1 b
c d e | 1.2 2.1 3.2 b
c d e | 1.3 2.1 3.1 b
c d e | 1.3 2.1 3.2 b
c d e | 1.1 2.2 3.1 b
c d e | 1.1 2.2 3.2 b
c d e | 1.2 2.2 3.1 b
c d e | 1.2 2.2 3.2 b
c d e | 1.3 2.2 3.1 b
c d e | 1.3 2.2 3.2 b
