Started Logging. 2022-07-09 14:25:31.544755

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [2.806657075881958, 0.4310929775238037, 0.3748560845851898], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.806657075881958, 0.4310929775238037, 0.3748560845851898], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.806657075881958, 0.4310929775238037, 0.3748560845851898], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [-2.757984161376953, -0.1568630039691925, 0.35458528995513916], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [-2.757984161376953, -0.1568630039691925, 0.35458528995513916], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [-2.757984161376953, -0.1568630039691925, 0.35458528995513916], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-2', 'position': [-1.3739811182022095, -0.058497484773397446, 0.36074432730674744], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-3', 'position': [-2.757984161376953, -0.1568630039691925, 0.35458528995513916], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [1.2969521284103394, 0.31493544578552246, 0.35747194290161133], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.06594046205282211, 0.09857874363660812, 0.36201685667037964], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [2.806657075881958, 0.4310929775238037, 0.3748560845851898], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-2', 'position': [-2.8443853855133057, -0.22216787934303284, 0.36044031381607056], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-3', 'position': [2.855794668197632, 0.2169972062110901, 0.3618820607662201], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-2.8443853855133057, -0.22216787934303284, 0.36044031381607056], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.855794668197632, 0.2169972062110901, 0.3618820607662201], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-2.8443853855133057, -0.22216787934303284, 0.36044031381607056], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-2.8443853855133057, -0.22216787934303284, 0.36044031381607056], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.855794668197632, 0.2169972062110901, 0.3618820607662201], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-0', 'position': [-0.5889775156974792, 0.09207186102867126, 0.3893475830554962], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.855794668197632, 0.2169972062110901, 0.3618820607662201], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-1', 'position': [1.3026846647262573, 0.13041675090789795, 0.36937177181243896], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.929115056991577, 0.3580992519855499, 0.36136114597320557], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [1.4246444702148438, 0.3522146940231323, 0.36366525292396545], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-1.4136229753494263, 0.13710296154022217, 0.35493749380111694], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [-2.8840320110321045, -0.02713950164616108, 0.3595021963119507], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [0.21108567714691162, 0.181257963180542, 0.36686789989471436], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-3', 'position': [-2.8107731342315674, -0.23086729645729065, 0.35927098989486694], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-1', 'position': [2.8971219062805176, 0.3536831736564636, 0.3604269027709961], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.8971219062805176, 0.3536831736564636, 0.3604269027709961], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.8971219062805176, 0.3536831736564636, 0.3604269027709961], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [-2.8107731342315674, -0.23086729645729065, 0.35927098989486694], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [2.8971219062805176, 0.3536831736564636, 0.3604269027709961], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-2.8107731342315674, -0.23086729645729065, 0.35927098989486694], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.4645663499832153, 0.06612559407949448, 0.36413103342056274], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-2.8107731342315674, -0.23086729645729065, 0.35927098989486694], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [0.0011469274759292603, 0.012102823704481125, 0.36441534757614136], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
5.json in train
THRESHOLD relate_behind objs = {'id': '5-0', 'position': [-0.002751268446445465, 0.1344900131225586, 0.7107494473457336], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-1', 'position': [-2.7270302772521973, -0.08563478291034698, 0.7013123035430908], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-0.002751268446445465, 0.1344900131225586, 0.7107494473457336], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-2', 'position': [2.6804962158203125, 0.32011479139328003, 0.69998699426651], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.7270302772521973, -0.08563478291034698, 0.7013123035430908], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [-0.002751268446445465, 0.1344900131225586, 0.7107494473457336], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.6804962158203125, 0.32011479139328003, 0.69998699426651], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'large'}, {'id': '5-0', 'position': [-0.002751268446445465, 0.1344900131225586, 0.7107494473457336], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
