Started Logging. 2022-07-09 14:21:31.066704

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.745001792907715, 0.2805984616279602, 0.36659765243530273], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [-2.7944319248199463, -0.0912003219127655, 0.35038796067237854], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-1.3652369976043701, 0.023781511932611465, 0.3469630479812622], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [0.2325012981891632, 0.09011798352003098, 0.3528531491756439], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.826385736465454, 0.32667696475982666, 0.3669130206108093], 'color': 'red', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [1.3837268352508545, 0.2494669258594513, 0.3647845983505249], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [-2.9219138622283936, -0.166738361120224, 0.3584359884262085], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-3', 'position': [2.7482564449310303, 0.35105156898498535, 0.3747771382331848], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.9219138622283936, -0.166738361120224, 0.3584359884262085], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.9219138622283936, -0.166738361120224, 0.3584359884262085], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [-2.9219138622283936, -0.166738361120224, 0.3584359884262085], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [2.7482564449310303, 0.35105156898498535, 0.3747771382331848], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [2.7482564449310303, 0.35105156898498535, 0.3747771382331848], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [-0.11671748012304306, 0.04648590460419655, 0.39962470531463623], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [2.7482564449310303, 0.35105156898498535, 0.3747771382331848], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [1.2977286577224731, 0.12561476230621338, 0.3595285415649414], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
5.json in train
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-2.82741379737854, -0.198764830827713, 0.6984392404556274], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-1', 'position': [-0.07624679058790207, -0.1349601298570633, 0.7031480669975281], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-2.82741379737854, -0.198764830827713, 0.6984392404556274], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [2.8486876487731934, 0.13544362783432007, 0.6974621415138245], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [-0.07624679058790207, -0.1349601298570633, 0.7031480669975281], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [-2.82741379737854, -0.198764830827713, 0.6984392404556274], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-0.07624679058790207, -0.1349601298570633, 0.7031480669975281], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-2', 'position': [2.8486876487731934, 0.13544362783432007, 0.6974621415138245], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.8486876487731934, 0.13544362783432007, 0.6974621415138245], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [-2.82741379737854, -0.198764830827713, 0.6984392404556274], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.8486876487731934, 0.13544362783432007, 0.6974621415138245], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '5-1', 'position': [-0.07624679058790207, -0.1349601298570633, 0.7031480669975281], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
