Started Logging. 2022-07-09 13:13:45.005116

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [3.016003370285034, 0.21132805943489075, 0.36244523525238037], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [3.016003370285034, 0.21132805943489075, 0.36244523525238037], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [3.016003370285034, 0.21132805943489075, 0.36244523525238037], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-2', 'position': [-2.685342311859131, -0.2873988747596741, 0.35535943508148193], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-3', 'position': [-1.2688740491867065, -0.21043506264686584, 0.35443785786628723], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [3.016003370285034, 0.21132805943489075, 0.36244523525238037], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [0.17934182286262512, -0.08861649036407471, 0.36193227767944336], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [1.4519239664077759, 0.11143293231725693, 0.359671413898468], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-1', 'position': [-3.0125958919525146, -0.187188982963562, 0.3652648627758026], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-2', 'position': [1.280134916305542, 0.2453182339668274, 0.3682625889778137], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-3', 'position': [2.7033681869506836, 0.28834015130996704, 0.365631103515625], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-3.0125958919525146, -0.187188982963562, 0.3652648627758026], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [1.280134916305542, 0.2453182339668274, 0.3682625889778137], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [1.280134916305542, 0.2453182339668274, 0.3682625889778137], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.7033681869506836, 0.28834015130996704, 0.365631103515625], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.7033681869506836, 0.28834015130996704, 0.365631103515625], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-0', 'position': [-0.7095237374305725, 0.02645806595683098, 0.3744196593761444], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.7033681869506836, 0.28834015130996704, 0.365631103515625], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-2', 'position': [1.280134916305542, 0.2453182339668274, 0.3682625889778137], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-0', 'position': [1.4662392139434814, 0.03200984373688698, 0.36568883061408997], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-1', 'position': [0.14309503138065338, -0.046716876327991486, 0.3827110528945923], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-2.7312920093536377, -0.22190231084823608, 0.36332857608795166], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [2.864347219467163, 0.12734392285346985, 0.36329811811447144], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [-1.3389948606491089, -0.18710318207740784, 0.3523191809654236], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-2', 'position': [-2.777445077896118, -0.1517181396484375, 0.3591960668563843], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-1', 'position': [2.9165992736816406, 0.2554355561733246, 0.36174148321151733], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.9165992736816406, 0.2554355561733246, 0.36174148321151733], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.9165992736816406, 0.2554355561733246, 0.36174148321151733], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.777445077896118, -0.1517181396484375, 0.3591960668563843], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.777445077896118, -0.1517181396484375, 0.3591960668563843], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [-2.777445077896118, -0.1517181396484375, 0.3591960668563843], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.4590623378753662, 0.09369483590126038, 0.36535435914993286], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [0.1049414873123169, -0.07439768314361572, 0.36521631479263306], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [2.9165992736816406, 0.2554355561733246, 0.36174148321151733], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
5.json in train
THRESHOLD relate_behind objs = {'id': '5-0', 'position': [0.047857705503702164, 0.19217607378959656, 0.7128960490226746], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-1', 'position': [-2.7315168380737305, -0.04692602902650833, 0.7018627524375916], 'color': 'brown', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [0.047857705503702164, 0.19217607378959656, 0.7128960490226746], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-2', 'position': [2.6770403385162354, 0.3376184105873108, 0.7057532668113708], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.7315168380737305, -0.04692602902650833, 0.7018627524375916], 'color': 'brown', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [0.047857705503702164, 0.19217607378959656, 0.7128960490226746], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.7315168380737305, -0.04692602902650833, 0.7018627524375916], 'color': 'brown', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-2', 'position': [2.6770403385162354, 0.3376184105873108, 0.7057532668113708], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.6770403385162354, 0.3376184105873108, 0.7057532668113708], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'large'}, {'id': '5-0', 'position': [0.047857705503702164, 0.19217607378959656, 0.7128960490226746], 'color': 'brown', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.6770403385162354, 0.3376184105873108, 0.7057532668113708], 'color': 'brown', 'material': 'metal', 'shape': 'cube', 'size': 'large'}, {'id': '5-1', 'position': [-2.7315168380737305, -0.04692602902650833, 0.7018627524375916], 'color': 'brown', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
