Started Logging. 2022-07-09 14:14:05.865552

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [1.3310242891311646, 0.2926988899707794, 0.35640427470207214], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [1.3310242891311646, 0.2926988899707794, 0.35640427470207214], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [2.762726068496704, 0.37337952852249146, 0.37763652205467224], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.762726068496704, 0.37337952852249146, 0.37763652205467224], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [1.3310242891311646, 0.2926988899707794, 0.35640427470207214], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.762726068496704, 0.37337952852249146, 0.37763652205467224], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.8509328365325928, -0.14135268330574036, 0.35252121090888977], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [-1.4321852922439575, -0.10879978537559509, 0.36019736528396606], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.8509328365325928, -0.14135268330574036, 0.35252121090888977], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [-1.4321852922439575, -0.10879978537559509, 0.36019736528396606], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [-2.8509328365325928, -0.14135268330574036, 0.35252121090888977], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [-1.4321852922439575, -0.10879978537559509, 0.36019736528396606], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-2', 'position': [-2.8509328365325928, -0.14135268330574036, 0.35252121090888977], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-3', 'position': [-1.4321852922439575, -0.10879978537559509, 0.36019736528396606], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-0', 'position': [1.3310242891311646, 0.2926988899707794, 0.35640427470207214], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.04673381894826889, 0.03671487420797348, 0.35724693536758423], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '1-1', 'position': [2.762726068496704, 0.37337952852249146, 0.37763652205467224], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-1', 'position': [-2.8976497650146484, -0.2329704761505127, 0.3612477779388428], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '2-3', 'position': [2.8196218013763428, 0.20138323307037354, 0.3631449043750763], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.8976497650146484, -0.2329704761505127, 0.3612477779388428], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.8976497650146484, -0.2329704761505127, 0.3612477779388428], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.8976497650146484, -0.2329704761505127, 0.3612477779388428], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.8196218013763428, 0.20138323307037354, 0.3631449043750763], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.8196218013763428, 0.20138323307037354, 0.3631449043750763], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-0', 'position': [-0.702489972114563, -0.022484151646494865, 0.37697649002075195], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.8196218013763428, 0.20138323307037354, 0.3631449043750763], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '2-2', 'position': [1.4227536916732788, 0.06368625909090042, 0.3670349717140198], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-1', 'position': [-2.981968879699707, -0.12001154571771622, 0.35914209485054016], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-2', 'position': [-0.06797120720148087, 0.09239724278450012, 0.36208051443099976], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-3', 'position': [-1.4696640968322754, 0.05994310975074768, 0.3569021224975586], 'color': 'green', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [1.2738465070724487, 0.20865413546562195, 0.3676213026046753], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '3-0', 'position': [2.813222885131836, 0.24992212653160095, 0.3632656931877136], 'color': 'cyan', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [-2.8731777667999268, -0.24210196733474731, 0.35820531845092773], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [2.8292763233184814, 0.34903615713119507, 0.3651272654533386], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.8731777667999268, -0.24210196733474731, 0.35820531845092773], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.8731777667999268, -0.24210196733474731, 0.35820531845092773], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-1', 'position': [-2.8731777667999268, -0.24210196733474731, 0.35820531845092773], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '4-3', 'position': [2.8292763233184814, 0.34903615713119507, 0.3651272654533386], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [2.8292763233184814, 0.34903615713119507, 0.3651272654533386], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-0', 'position': [-0.07247801870107651, 0.04474581405520439, 0.3624255657196045], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [2.8292763233184814, 0.34903615713119507, 0.3651272654533386], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '4-2', 'position': [1.3632491827011108, 0.15717849135398865, 0.36478400230407715], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
5.json in train
THRESHOLD relate_behind objs = {'id': '5-0', 'position': [-0.0442228838801384, 0.029361657798290253, 0.7086979746818542], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-1', 'position': [-2.7552900314331055, -0.15182167291641235, 0.6999312043190002], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-0.0442228838801384, 0.029361657798290253, 0.7086979746818542], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}, {'id': '5-2', 'position': [2.7210633754730225, 0.21612870693206787, 0.7064123749732971], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.7552900314331055, -0.15182167291641235, 0.6999312043190002], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-0', 'position': [-0.0442228838801384, 0.029361657798290253, 0.7086979746818542], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-1', 'position': [-2.7552900314331055, -0.15182167291641235, 0.6999312043190002], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}, {'id': '5-2', 'position': [2.7210633754730225, 0.21612870693206787, 0.7064123749732971], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.7210633754730225, 0.21612870693206787, 0.7064123749732971], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'large'}, {'id': '5-0', 'position': [-0.0442228838801384, 0.029361657798290253, 0.7086979746818542], 'color': 'yellow', 'material': 'rubber', 'shape': 'cube', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [2.7210633754730225, 0.21612870693206787, 0.7064123749732971], 'color': 'yellow', 'material': 'metal', 'shape': 'cube', 'size': 'large'}, {'id': '5-1', 'position': [-2.7552900314331055, -0.15182167291641235, 0.6999312043190002], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'large'}
