Started Logging. 2022-07-09 13:57:58.861874

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-2.8857312202453613, -0.14335903525352478, 0.35013580322265625], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-1.4416943788528442, 0.05750855803489685, 0.3610994815826416], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [2.915163040161133, 0.19761362671852112, 0.3780115246772766], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.06610389798879623, 0.07067739963531494, 0.3577271103858948], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [1.3222757577896118, 0.25226524472236633, 0.38132810592651367], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [1.3387771844863892, -0.0644085556268692, 0.3601190447807312], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.9891295433044434, -0.18766695261001587, 0.3581831455230713], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.670610189437866, 0.19307398796081543, 0.36612606048583984], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-0.6678733229637146, -0.07192288339138031, 0.3687708377838135], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-0.1440168023109436, 0.01415952667593956, 0.35548317432403564], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [-2.943068742752075, -0.18552625179290771, 0.3580358326435089], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-1.5340594053268433, -0.07407210022211075, 0.34807276725769043], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-4', 'position': [1.2623058557510376, 0.10502465814352036, 0.3694373369216919], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.6598756313323975, 0.1636345088481903, 0.3669070601463318], 'color': 'brown', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
4.json in test
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-2', 'position': [-2.962100028991699, -0.12983888387680054, 0.365827739238739], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '4-1', 'position': [2.777813196182251, 0.36601075530052185, 0.3656972050666809], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.777813196182251, 0.36601075530052185, 0.3656972050666809], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-1', 'position': [2.777813196182251, 0.36601075530052185, 0.3656972050666809], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.962100028991699, -0.12983888387680054, 0.365827739238739], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [-2.962100028991699, -0.12983888387680054, 0.365827739238739], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [-2.962100028991699, -0.12983888387680054, 0.365827739238739], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [1.268387794494629, 0.19584935903549194, 0.3644106388092041], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-3', 'position': [-0.11047414690256119, 0.08756335824728012, 0.3609725832939148], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [2.777813196182251, 0.36601075530052185, 0.3656972050666809], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
5.json in train
