lr-Adam,step,train_recon_loss,train_kl,train_loss,epoch,val_recon_loss,val_kl,val_loss
,1149,0.0781143456697464,0.0046356795355677605,0.08275002241134644,0,,,
0.0001,1199,,,,,,,
,1199,0.05799774453043938,0.0035510719753801823,0.06154881790280342,0,,,
,1237,,,,0,0.07503702491521835,0.004934525582939386,0.079971544444561
0.0001,1249,,,,,,,
,1249,0.0644615963101387,0.004257962107658386,0.06871955841779709,1,,,
0.0001,1299,,,,,,,
,1299,0.033272068947553635,0.0036280525382608175,0.036900121718645096,1,,,
0.0001,1349,,,,,,,
,1349,0.061735715717077255,0.0035153795033693314,0.06525109708309174,1,,,
0.0001,1399,,,,,,,
,1399,0.10479480773210526,0.0028972947038710117,0.10769210010766983,1,,,
0.0001,1449,,,,,,,
,1449,0.07817205786705017,0.005455909762531519,0.08362796902656555,1,,,
0.0001,1499,,,,,,,
,1499,0.03427370265126228,0.0028899225872009993,0.0371636264026165,1,,,
0.0001,1549,,,,,,,
,1549,0.03697812929749489,0.004109170753508806,0.04108729958534241,1,,,
0.0001,1599,,,,,,,
,1599,0.040661200881004333,0.0026567529421299696,0.04331795498728752,1,,,
0.0001,1649,,,,,,,
,1649,0.03647903352975845,0.0029348654206842184,0.039413899183273315,1,,,
0.0001,1699,,,,,,,
,1699,0.09965278953313828,0.006119066849350929,0.10577185451984406,1,,,
0.0001,1749,,,,,,,
,1749,0.03559831529855728,0.004175699781626463,0.03977401554584503,1,,,
0.0001,1799,,,,,,,
,1799,0.07744815200567245,0.0035159289836883545,0.08096408098936081,1,,,
0.0001,1849,,,,,,,
,1849,0.027352778241038322,0.004659333731979132,0.03201211243867874,1,,,
0.0001,1899,,,,,,,
,1899,0.04450128972530365,0.00570143386721611,0.05020272359251976,1,,,
0.0001,1949,,,,,,,
,1949,0.06571044772863388,0.004280651919543743,0.0699910968542099,1,,,
0.0001,1999,,,,,,,
,1999,0.07274379581212997,0.0044608707539737225,0.07720466703176498,1,,,
0.0001,2049,,,,,,,
,2049,0.0894031897187233,0.00404741195961833,0.09345059841871262,1,,,
0.0001,2099,,,,,,,
,2099,0.06327265501022339,0.004059314727783203,0.06733196973800659,1,,,
0.0001,2149,,,,,,,
,2149,0.05701528117060661,0.0035829038824886084,0.060598183423280716,1,,,
0.0001,2199,,,,,,,
,2199,0.03380090370774269,0.003578772535547614,0.0373796746134758,1,,,
0.0001,2249,,,,,,,
,2249,0.06270985305309296,0.0034424804616719484,0.06615233421325684,1,,,
0.0001,2299,,,,,,,
,2299,0.09366157650947571,0.005931835621595383,0.09959341585636139,1,,,
0.0001,2349,,,,,,,
,2349,0.07205154746770859,0.005248046945780516,0.07729959487915039,1,,,
0.0001,2399,,,,,,,
,2399,0.05791822075843811,0.005585828796029091,0.06350404769182205,1,,,
0.0001,2449,,,,,,,
,2449,0.05105248838663101,0.003400940215215087,0.05445342883467674,1,,,
,2475,,,,1,0.06688768416643143,0.005612075328826904,0.07249975949525833
0.0001,2499,,,,,,,
,2499,0.061999715864658356,0.0028927051462233067,0.06489241868257523,2,,,
0.0001,2549,,,,,,,
,2549,0.028701411560177803,0.002609955845400691,0.03131136670708656,2,,,
0.0001,2599,,,,,,,
,2599,0.04772331938147545,0.004101343918591738,0.0518246628344059,2,,,
0.0001,2649,,,,,,,
,2649,0.0547674186527729,0.00344104110263288,0.05820845812559128,2,,,
0.0001,2699,,,,,,,
,2699,0.05909143015742302,0.004955887328833342,0.06404731422662735,2,,,
0.0001,2749,,,,,,,
,2749,0.051867879927158356,0.00460881507024169,0.056476693600416183,2,,,
0.0001,2799,,,,,,,
,2799,0.02347155660390854,0.003348687430843711,0.026820244267582893,2,,,
0.0001,2849,,,,,,,
,2849,0.03651691600680351,0.0031834838446229696,0.039700400084257126,2,,,
0.0001,2899,,,,,,,
,2899,0.08916112035512924,0.002757807495072484,0.0919189304113388,2,,,
0.0001,2949,,,,,,,
,2949,0.08491148799657822,0.00615799380466342,0.09106948226690292,2,,,
0.0001,2999,,,,,,,
,2999,0.05080026760697365,0.004659488331526518,0.05545975640416145,2,,,
0.0001,3049,,,,,,,
,3049,0.0519634410738945,0.00541542237624526,0.0573788620531559,2,,,
0.0001,3099,,,,,,,
,3099,0.03491624444723129,0.0047433809377253056,0.03965962678194046,2,,,
0.0001,3149,,,,,,,
,3149,0.04189632087945938,0.004596004728227854,0.0464923270046711,2,,,
0.0001,3199,,,,,,,
,3199,0.05130000412464142,0.0032215160317718983,0.05452151969075203,2,,,
0.0001,3249,,,,,,,
,3249,0.06456898897886276,0.004797359462827444,0.06936635076999664,2,,,
0.0001,3299,,,,,,,
,3299,0.061279818415641785,0.004634461831301451,0.06591428071260452,2,,,
0.0001,3349,,,,,,,
,3349,0.035773348063230515,0.002746278652921319,0.03851962834596634,2,,,
0.0001,3399,,,,,,,
,3399,0.05540555343031883,0.0026525387074798346,0.05805809050798416,2,,,
0.0001,3449,,,,,,,
,3449,0.03946400433778763,0.00482361763715744,0.04428762197494507,2,,,
0.0001,3499,,,,,,,
,3499,0.07540327310562134,0.0048248195089399815,0.08022809028625488,2,,,
0.0001,3549,,,,,,,
,3549,0.07744860649108887,0.0053991228342056274,0.0828477293252945,2,,,
0.0001,3599,,,,,,,
,3599,0.07111527770757675,0.003917518071830273,0.0750327929854393,2,,,
0.0001,3649,,,,,,,
,3649,0.04898660257458687,0.004362702369689941,0.05334930494427681,2,,,
0.0001,3699,,,,,,,
,3699,0.060049962252378464,0.003183083375915885,0.06323304772377014,2,,,
,3713,,,,2,0.06211795285344124,0.005755452439188957,0.06787341088056564
,3748,,,,3,0.08287347853183746,0.006857506465166807,0.08973097801208496
