Started Logging. 2022-07-09 16:38:53.293478

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.717766523361206, -0.1143588274717331, 0.6980941295623779], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.8277502059936523, 0.18428826332092285, 0.6904751062393188], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
2.json in test
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [-2.9549596309661865, -0.168608158826828, 0.3483303189277649], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-2', 'position': [-1.5139751434326172, -0.09363936632871628, 0.35630160570144653], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-3', 'position': [1.2508323192596436, 0.04951377213001251, 0.34760022163391113], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-0.014876358211040497, 0.10887419432401657, 0.3419618010520935], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
3.json in train
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-0', 'position': [2.70822811126709, 0.18561160564422607, 0.6931902170181274], 'color': 'cyan', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-1', 'position': [-1.543916940689087, -0.058744531124830246, 0.34267330169677734], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '3-3', 'position': [-3.014843702316284, -0.10001639276742935, 0.3511470556259155], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '3-2', 'position': [1.2810072898864746, 0.0708288848400116, 0.3470391035079956], 'color': 'gray', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
4.json in train
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [2.0768158435821533, 0.11545147746801376, 0.35002779960632324], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-1', 'position': [-2.078145742416382, -0.1068808063864708, 0.34709689021110535], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '4-0', 'position': [2.0768158435821533, 0.11545147746801376, 0.35002779960632324], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [0.0519578754901886, 0.00835648737847805, 0.6965336799621582], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.078145742416382, -0.1068808063864708, 0.34709689021110535], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-0', 'position': [2.0768158435821533, 0.11545147746801376, 0.35002779960632324], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-1', 'position': [-2.078145742416382, -0.1068808063864708, 0.34709689021110535], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '4-2', 'position': [0.0519578754901886, 0.00835648737847805, 0.6965336799621582], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '4-2', 'position': [0.0519578754901886, 0.00835648737847805, 0.6965336799621582], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-1', 'position': [-2.078145742416382, -0.1068808063864708, 0.34709689021110535], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '4-2', 'position': [0.0519578754901886, 0.00835648737847805, 0.6965336799621582], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '4-0', 'position': [2.0768158435821533, 0.11545147746801376, 0.35002779960632324], 'color': 'cyan', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
5.json in test
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-2.317296028137207, -0.13414266705513, 0.6982821226119995], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-1', 'position': [2.0685312747955322, 0.20924177765846252, 0.6907288432121277], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-0', 'position': [-2.317296028137207, -0.13414266705513, 0.6982821226119995], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [-0.1588248908519745, 0.033012647181749344, 0.35100093483924866], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [2.0685312747955322, 0.20924177765846252, 0.6907288432121277], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-0', 'position': [-2.317296028137207, -0.13414266705513, 0.6982821226119995], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '5-1', 'position': [2.0685312747955322, 0.20924177765846252, 0.6907288432121277], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '5-2', 'position': [-0.1588248908519745, 0.033012647181749344, 0.35100093483924866], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '5-2', 'position': [-0.1588248908519745, 0.033012647181749344, 0.35100093483924866], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-0', 'position': [-2.317296028137207, -0.13414266705513, 0.6982821226119995], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '5-2', 'position': [-0.1588248908519745, 0.033012647181749344, 0.35100093483924866], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '5-1', 'position': [2.0685312747955322, 0.20924177765846252, 0.6907288432121277], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
