a b c | 1 2 d
a d e | 2 4 b
a d e | 2 5 b
a d e | 3 4 b
a d e | 3 5 b
a d e | 4 5 b
a d e | 1 2 c
a d e | 1 3 c
a d e | 1 4 c
a d e | 1 5 c
a d e | 2 3 c
a d e | 2 4 c
a d e | 2 5 c
a d e | 3 4 c
a d e | 3 5 c
a d e | 4 5 c
a d e | 1 2 f
a d e | 1 3 f
a d e | 1 4 f
a d e | 1 5 f
a d e | 2 3 f
a d e | 2 4 f
a d e | 2 5 f
a d e | 3 4 f
a d e | 3 5 f
a d e | 4 5 f
a d e | 1 2 g
a d e | 1 3 g
a d e | 1 4 g
a d e | 1 5 g
a d e | 2 3 g
a d e | 2 4 g
a d e | 2 5 g
a d e | 3 4 g
a d e | 3 5 g
a d e | 4 5 g
a d f | 1 2 b
a d f | 1 3 b
a d f | 1 4 b
a d f | 1 5 b
a d f | 2 3 b
a d f | 2 4 b
a d f | 2 5 b
a d f | 3 4 b
a d f | 3 5 b
a d f | 4 5 b
a d f | 1 2 c
a d f | 1 3 c
a d f | 1 4 c
a d f | 1 5 c
a d f | 2 3 c
a d f | 2 4 c
a d f | 2 5 c
a d f | 3 4 c
a d f | 3 5 c
a d f | 4 5 c
a d f | 1 2 e
a d f | 1 3 e
a d f | 1 4 e
a d f | 1 5 e
a d f | 2 3 e
a d f | 2 4 e
a d f | 2 5 e
a d f | 3 4 e
a d f | 3 5 e
a d f | 4 5 e
a d f | 1 2 g
a d f | 1 3 g
a d f | 1 4 g
a d f | 1 5 g
a d f | 2 3 g
a d f | 2 4 g
a d f | 2 5 g
a d f | 3 4 g
a d f | 3 5 g
a d f | 4 5 g
a d g | 1 2 b
a d g | 1 3 b
a d g | 1 4 b
a d g | 1 5 b
a d g | 2 3 b
a d g | 2 4 b
a d g | 2 5 b
a d g | 3 4 b
a d g | 3 5 b
a d g | 4 5 b
a d g | 1 2 c
a d g | 1 3 c
a d g | 1 4 c
a d g | 1 5 c
a d g | 2 3 c
a d g | 2 4 c
a d g | 2 5 c
a d g | 3 4 c
a d g | 3 5 c
a d g | 4 5 c
a d g | 1 2 e
a d g | 1 3 e
a d g | 1 4 e
a d g | 1 5 e
a d g | 2 3 e
a d g | 2 4 e
a d g | 2 5 e
a d g | 3 4 e
a d g | 3 5 e
a d g | 4 5 e
a d g | 1 2 f
a d g | 1 3 f
a d g | 1 4 f
a d g | 1 5 f
a d g | 2 3 f
a d g | 2 4 f
a d g | 2 5 f
a d g | 3 4 f
a d g | 3 5 f
a d g | 4 5 f
a e f | 1 2 b
a e f | 1 3 b
a e f | 1 4 b
a e f | 1 5 b
a e f | 2 3 b
a e f | 2 4 b
a e f | 2 5 b
a e f | 3 4 b
a e f | 3 5 b
a e f | 4 5 b
a e f | 1 2 c
a e f | 1 3 c
a e f | 1 4 c
a e f | 1 5 c
a e f | 2 3 c
a e f | 2 4 c
a e f | 2 5 c
a e f | 3 4 c
a e f | 3 5 c
a e f | 4 5 c
a e f | 1 2 d
a e f | 1 3 d
a e f | 1 4 d
a e f | 1 5 d
a e f | 2 3 d
a e f | 2 4 d
a e f | 2 5 d
a e f | 3 4 d
a e f | 3 5 d
a e f | 4 5 d
a e f | 1 2 g
a e f | 1 3 g
a e f | 1 4 g
a e f | 1 5 g
a e f | 2 3 g
a e f | 2 4 g
a e f | 2 5 g
a e f | 3 4 g
a e f | 3 5 g
a e f | 4 5 g
a e g | 1 2 b
a e g | 1 3 b
a e g | 1 4 b
a e g | 1 5 b
a e g | 2 3 b
a e g | 2 4 b
a e g | 2 5 b
a e g | 3 4 b
a e g | 3 5 b
a e g | 4 5 b
a e g | 1 2 c
a e g | 1 3 c
a e g | 1 4 c
a e g | 1 5 c
a e g | 2 3 c
a e g | 2 4 c
a e g | 2 5 c
a e g | 3 4 c
a e g | 3 5 c
a e g | 4 5 c
a e g | 1 2 d
a e g | 1 3 d
a e g | 1 4 d
a e g | 1 5 d
a e g | 2 3 d
a e g | 2 4 d
a e g | 2 5 d
a e g | 3 4 d
a e g | 3 5 d
a e g | 4 5 d
a e g | 1 2 f
a e g | 1 3 f
a e g | 1 4 f
a e g | 1 5 f
a e g | 2 3 f
a e g | 2 4 f
a e g | 2 5 f
a e g | 3 4 f
a e g | 3 5 f
a e g | 4 5 f
a f g | 1 2 b
a f g | 1 3 b
a f g | 1 4 b
a f g | 1 5 b
a f g | 2 3 b
a f g | 2 4 b
a f g | 2 5 b
a f g | 3 4 b
a f g | 3 5 b
a f g | 4 5 b
a f g | 1 2 c
a f g | 1 3 c
a f g | 1 4 c
a f g | 1 5 c
a f g | 2 3 c
a f g | 2 4 c
a f g | 2 5 c
a f g | 3 4 c
a f g | 3 5 c
a f g | 4 5 c
a f g | 1 2 d
a f g | 1 3 d
a f g | 1 4 d
a f g | 1 5 d
a f g | 2 3 d
a f g | 2 4 d
a f g | 2 5 d
a f g | 3 4 d
a f g | 3 5 d
a f g | 4 5 d
a f g | 1 2 e
a f g | 1 3 e
a f g | 1 4 e
a f g | 1 5 e
a f g | 2 3 e
a f g | 2 4 e
a f g | 2 5 e
a f g | 3 4 e
a f g | 3 5 e
a f g | 4 5 e
b c d | 1 2 a
b c d | 1 3 a
b c d | 1 4 a
b c d | 1 5 a
b c d | 2 3 a
b c d | 2 4 a
b c d | 2 5 a
b c d | 3 4 a
b c d | 3 5 a
b c d | 4 5 a
b c d | 1 2 e
b c d | 1 3 e
b c d | 1 4 e
b c d | 1 5 e
b c d | 2 3 e
b c d | 2 4 e
b c d | 2 5 e
b c d | 3 4 e
b c d | 3 5 e
b c d | 4 5 e
b c d | 1 2 f
b c d | 1 3 f
b c d | 1 4 f
b c d | 1 5 f
b c d | 2 3 f
b c d | 2 4 f
b c d | 2 5 f
b c d | 3 4 f
b c d | 3 5 f
b c d | 4 5 f
b c d | 1 2 g
b c d | 1 3 g
b c d | 1 4 g
b c d | 1 5 g
b c d | 2 3 g
b c d | 2 4 g
b c d | 2 5 g
b c d | 3 4 g
b c d | 3 5 g
b c d | 4 5 g
b c e | 1 2 a
b c e | 1 3 a
b c e | 1 4 a
b c e | 1 5 a
b c e | 2 3 a
b c e | 2 4 a
b c e | 2 5 a
b c e | 3 4 a
b c e | 3 5 a
b c e | 4 5 a
b c e | 1 2 d
b c e | 1 3 d
b c e | 1 4 d
b c e | 1 5 d
b c e | 2 3 d
b c e | 2 4 d
b c e | 2 5 d
b c e | 3 4 d
b c e | 3 5 d
b c e | 4 5 d
b c e | 1 2 f
b c e | 1 3 f
b c e | 1 4 f
b c e | 1 5 f
b c e | 2 3 f
b c e | 2 4 f
b c e | 2 5 f
b c e | 3 4 f
b c e | 3 5 f
b c e | 4 5 f
b c e | 1 2 g
b c e | 1 3 g
b c e | 1 4 g
b c e | 1 5 g
b c e | 2 3 g
b c e | 2 4 g
b c e | 2 5 g
b c e | 3 4 g
b c e | 3 5 g
b c e | 4 5 g
b c f | 1 2 a
b c f | 1 3 a
b c f | 1 4 a
b c f | 1 5 a
b c f | 2 3 a
b c f | 2 4 a
b c f | 2 5 a
b c f | 3 4 a
b c f | 3 5 a
b c f | 4 5 a
b c f | 1 2 d
b c f | 1 3 d
b c f | 1 4 d
b c f | 1 5 d
b c f | 2 3 d
b c f | 2 4 d
b c f | 2 5 d
b c f | 3 4 d
b c f | 3 5 d
b c f | 4 5 d
b c f | 1 2 e
b c f | 1 3 e
b c f | 1 4 e
b c f | 1 5 e
b c f | 2 3 e
b c f | 2 4 e
b c f | 2 5 e
b c f | 3 4 e
b c f | 3 5 e
b c f | 4 5 e
b c f | 1 2 g
b c f | 1 3 g
b c f | 1 4 g
b c f | 1 5 g
b c f | 2 3 g
b c f | 2 4 g
b c f | 2 5 g
b c f | 3 4 g
b c f | 3 5 g
b c f | 4 5 g
b c g | 1 2 a
b c g | 1 3 a
b c g | 1 4 a
b c g | 1 5 a
b c g | 2 3 a
b c g | 2 4 a
b c g | 2 5 a
b c g | 3 4 a
b c g | 3 5 a
b c g | 4 5 a
b c g | 1 2 d
b c g | 1 3 d
b c g | 1 4 d
b c g | 1 5 d
b c g | 2 3 d
b c g | 2 4 d
b c g | 2 5 d
b c g | 3 4 d
b c g | 3 5 d
b c g | 4 5 d
b c g | 1 2 e
b c g | 1 3 e
b c g | 1 4 e
b c g | 1 5 e
b c g | 2 3 e
b c g | 2 4 e
b c g | 2 5 e
b c g | 3 4 e
b c g | 3 5 e
b c g | 4 5 e
b c g | 1 2 f
b c g | 1 3 f
b c g | 1 4 f
b c g | 1 5 f
b c g | 2 3 f
b c g | 2 4 f
b c g | 2 5 f
b c g | 3 4 f
b c g | 3 5 f
b c g | 4 5 f
b d e | 1 2 a
b d e | 1 3 a
b d e | 1 4 a
b d e | 1 5 a
b d e | 2 3 a
b d e | 2 4 a
b d e | 2 5 a
b d e | 3 4 a
b d e | 3 5 a
b d e | 4 5 a
b d e | 1 2 c
b d e | 1 3 c
b d e | 1 4 c
b d e | 1 5 c
b d e | 2 3 c
b d e | 2 4 c
b d e | 2 5 c
b d e | 3 4 c
b d e | 3 5 c
b d e | 4 5 c
b d e | 1 2 f
b d e | 1 3 f
b d e | 1 4 f
b d e | 1 5 f
b d e | 2 3 f
b d e | 2 4 f
b d e | 2 5 f
b d e | 3 4 f
b d e | 3 5 f
b d e | 4 5 f
b d e | 1 2 g
b d e | 1 3 g
b d e | 1 4 g
b d e | 1 5 g
b d e | 2 3 g
b d e | 2 4 g
b d e | 2 5 g
b d e | 3 4 g
b d e | 3 5 g
b d e | 4 5 g
b d f | 1 2 a
b d f | 1 3 a
b d f | 1 4 a
b d f | 1 5 a
b d f | 2 3 a
b d f | 2 4 a
b d f | 2 5 a
b d f | 3 4 a
b d f | 3 5 a
b d f | 4 5 a
b d f | 1 2 c
b d f | 1 3 c
b d f | 1 4 c
b d f | 1 5 c
b d f | 2 3 c
b d f | 2 4 c
b d f | 2 5 c
b d f | 3 4 c
b d f | 3 5 c
b d f | 4 5 c
b d f | 1 2 e
b d f | 1 3 e
b d f | 1 4 e
b d f | 1 5 e
b d f | 2 3 e
b d f | 2 4 e
b d f | 2 5 e
b d f | 3 4 e
b d f | 3 5 e
b d f | 4 5 e
b d f | 1 2 g
b d f | 1 3 g
b d f | 1 4 g
b d f | 1 5 g
b d f | 2 3 g
b d f | 2 4 g
b d f | 2 5 g
b d f | 3 4 g
b d f | 3 5 g
b d f | 4 5 g
b d g | 1 2 a
b d g | 1 3 a
b d g | 1 4 a
b d g | 1 5 a
b d g | 2 3 a
b d g | 2 4 a
b d g | 2 5 a
b d g | 3 4 a
b d g | 3 5 a
b d g | 4 5 a
b d g | 1 2 c
b d g | 1 3 c
b d g | 1 4 c
b d g | 1 5 c
b d g | 2 3 c
b d g | 2 4 c
b d g | 2 5 c
b d g | 3 4 c
b d g | 3 5 c
b d g | 4 5 c
b d g | 1 2 e
b d g | 1 3 e
b d g | 1 4 e
b d g | 1 5 e
b d g | 2 3 e
b d g | 2 4 e
b d g | 2 5 e
b d g | 3 4 e
b d g | 3 5 e
b d g | 4 5 e
b d g | 1 2 f
b d g | 1 3 f
b d g | 1 4 f
b d g | 1 5 f
b d g | 2 3 f
b d g | 2 4 f
b d g | 2 5 f
b d g | 3 4 f
b d g | 3 5 f
b d g | 4 5 f
b e f | 1 2 a
b e f | 1 3 a
b e f | 1 4 a
b e f | 1 5 a
b e f | 2 3 a
b e f | 2 4 a
b e f | 2 5 a
b e f | 3 4 a
b e f | 3 5 a
b e f | 4 5 a
b e f | 1 2 c
b e f | 1 3 c
b e f | 1 4 c
b e f | 1 5 c
b e f | 2 3 c
b e f | 2 4 c
b e f | 2 5 c
b e f | 3 4 c
b e f | 3 5 c
b e f | 4 5 c
b e f | 1 2 d
b e f | 1 3 d
b e f | 1 4 d
b e f | 1 5 d
b e f | 2 3 d
b e f | 2 4 d
b e f | 2 5 d
b e f | 3 4 d
b e f | 3 5 d
b e f | 4 5 d
b e f | 1 2 g
b e f | 1 3 g
b e f | 1 4 g
b e f | 1 5 g
b e f | 2 3 g
b e f | 2 4 g
b e f | 2 5 g
b e f | 3 4 g
b e f | 3 5 g
b e f | 4 5 g
b e g | 1 2 a
b e g | 1 3 a
b e g | 1 4 a
b e g | 1 5 a
b e g | 2 3 a
b e g | 2 4 a
b e g | 2 5 a
b e g | 3 4 a
b e g | 3 5 a
b e g | 4 5 a
b e g | 1 2 c
b e g | 1 3 c
b e g | 1 4 c
b e g | 1 5 c
b e g | 2 3 c
b e g | 2 4 c
b e g | 2 5 c
b e g | 3 4 c
b e g | 3 5 c
b e g | 4 5 c
b e g | 1 2 d
b e g | 1 3 d
b e g | 1 4 d
b e g | 1 5 d
b e g | 2 3 d
b e g | 2 4 d
b e g | 2 5 d
b e g | 3 4 d
b e g | 3 5 d
b e g | 4 5 d
b e g | 1 2 f
b e g | 1 3 f
b e g | 1 4 f
b e g | 1 5 f
b e g | 2 3 f
b e g | 2 4 f
b e g | 2 5 f
b e g | 3 4 f
b e g | 3 5 f
b e g | 4 5 f
b f g | 1 2 a
b f g | 1 3 a
b f g | 1 4 a
b f g | 1 5 a
b f g | 2 3 a
b f g | 2 4 a
b f g | 2 5 a
b f g | 3 4 a
b f g | 3 5 a
b f g | 4 5 a
b f g | 1 2 c
b f g | 1 3 c
b f g | 1 4 c
b f g | 1 5 c
b f g | 2 3 c
b f g | 2 4 c
b f g | 2 5 c
b f g | 3 4 c
b f g | 3 5 c
b f g | 4 5 c
b f g | 1 2 d
b f g | 1 3 d
b f g | 1 4 d
b f g | 1 5 d
b f g | 2 3 d
b f g | 2 4 d
b f g | 2 5 d
b f g | 3 4 d
b f g | 3 5 d
b f g | 4 5 d
b f g | 1 2 e
b f g | 1 3 e
b f g | 1 4 e
b f g | 1 5 e
b f g | 2 3 e
b f g | 2 4 e
b f g | 2 5 e
b f g | 3 4 e
b f g | 3 5 e
b f g | 4 5 e
c d e | 1 2 a
c d e | 1 3 a
c d e | 1 4 a
c d e | 1 5 a
c d e | 2 3 a
c d e | 2 4 a
c d e | 2 5 a
c d e | 3 4 a
c d e | 3 5 a
c d e | 4 5 a
c d e | 1 2 b
c d e | 1 3 b
c d e | 1 4 b
c d e | 1 5 b
c d e | 2 3 b
c d e | 2 4 b
c d e | 2 5 b
c d e | 3 4 b
c d e | 3 5 b
c d e | 4 5 b
c d e | 1 2 f
c d e | 1 3 f
c d e | 1 4 f
c d e | 1 5 f
c d e | 2 3 f
c d e | 2 4 f
c d e | 2 5 f
c d e | 3 4 f
c d e | 3 5 f
c d e | 4 5 f
c d e | 1 2 g
c d e | 1 3 g
c d e | 1 4 g
c d e | 1 5 g
c d e | 2 3 g
c d e | 2 4 g
c d e | 2 5 g
c d e | 3 4 g
c d e | 3 5 g
c d e | 4 5 g
c d f | 1 2 a
c d f | 1 3 a
c d f | 1 4 a
c d f | 1 5 a
c d f | 2 3 a
c d f | 2 4 a
c d f | 2 5 a
c d f | 3 4 a
c d f | 3 5 a
c d f | 4 5 a
c d f | 1 2 b
c d f | 1 3 b
c d f | 1 4 b
c d f | 1 5 b
c d f | 2 3 b
c d f | 2 4 b
c d f | 2 5 b
c d f | 3 4 b
c d f | 3 5 b
c d f | 4 5 b
c d f | 1 2 e
c d f | 1 3 e
c d f | 1 4 e
c d f | 1 5 e
c d f | 2 3 e
c d f | 2 4 e
c d f | 2 5 e
c d f | 3 4 e
c d f | 3 5 e
c d f | 4 5 e
c d f | 1 2 g
c d f | 1 3 g
c d f | 1 4 g
c d f | 1 5 g
c d f | 2 3 g
c d f | 2 4 g
c d f | 2 5 g
c d f | 3 4 g
c d f | 3 5 g
c d f | 4 5 g
c d g | 1 2 a
c d g | 1 3 a
c d g | 1 4 a
c d g | 1 5 a
c d g | 2 3 a
c d g | 2 4 a
c d g | 2 5 a
c d g | 3 4 a
c d g | 3 5 a
c d g | 4 5 a
c d g | 1 2 b
c d g | 1 3 b
c d g | 1 4 b
c d g | 1 5 b
c d g | 2 3 b
c d g | 2 4 b
c d g | 2 5 b
c d g | 3 4 b
c d g | 3 5 b
c d g | 4 5 b
c d g | 1 2 e
c d g | 1 3 e
c d g | 1 4 e
c d g | 1 5 e
c d g | 2 3 e
c d g | 2 4 e
c d g | 2 5 e
c d g | 3 4 e
c d g | 3 5 e
c d g | 4 5 e
c d g | 1 2 f
c d g | 1 3 f
c d g | 1 4 f
c d g | 1 5 f
c d g | 2 3 f
c d g | 2 4 f
c d g | 2 5 f
c d g | 3 4 f
c d g | 3 5 f
c d g | 4 5 f
c e f | 1 2 a
c e f | 1 3 a
c e f | 1 4 a
c e f | 1 5 a
c e f | 2 3 a
c e f | 2 4 a
c e f | 2 5 a
c e f | 3 4 a
c e f | 3 5 a
c e f | 4 5 a
c e f | 1 2 b
c e f | 1 3 b
c e f | 1 4 b
c e f | 1 5 b
c e f | 2 3 b
c e f | 2 4 b
c e f | 2 5 b
c e f | 3 4 b
c e f | 3 5 b
c e f | 4 5 b
c e f | 1 2 d
c e f | 1 3 d
c e f | 1 4 d
c e f | 1 5 d
c e f | 2 3 d
c e f | 2 4 d
c e f | 2 5 d
c e f | 3 4 d
c e f | 3 5 d
c e f | 4 5 d
c e f | 1 2 g
c e f | 1 3 g
c e f | 1 4 g
c e f | 1 5 g
c e f | 2 3 g
c e f | 2 4 g
c e f | 2 5 g
c e f | 3 4 g
c e f | 3 5 g
c e f | 4 5 g
c e g | 1 2 a
c e g | 1 3 a
c e g | 1 4 a
c e g | 1 5 a
c e g | 2 3 a
c e g | 2 4 a
c e g | 2 5 a
c e g | 3 4 a
c e g | 3 5 a
c e g | 4 5 a
c e g | 1 2 b
c e g | 1 3 b
c e g | 1 4 b
c e g | 1 5 b
c e g | 2 3 b
c e g | 2 4 b
c e g | 2 5 b
c e g | 3 4 b
c e g | 3 5 b
c e g | 4 5 b
c e g | 1 2 d
c e g | 1 3 d
c e g | 1 4 d
c e g | 1 5 d
c e g | 2 3 d
c e g | 2 4 d
c e g | 2 5 d
c e g | 3 4 d
c e g | 3 5 d
c e g | 4 5 d
c e g | 1 2 f
c e g | 1 3 f
c e g | 1 4 f
c e g | 1 5 f
c e g | 2 3 f
c e g | 2 4 f
c e g | 2 5 f
c e g | 3 4 f
c e g | 3 5 f
c e g | 4 5 f
c f g | 1 2 a
c f g | 1 3 a
c f g | 1 4 a
c f g | 1 5 a
c f g | 2 3 a
c f g | 2 4 a
c f g | 2 5 a
c f g | 3 4 a
c f g | 3 5 a
c f g | 4 5 a
c f g | 1 2 b
c f g | 1 3 b
c f g | 1 4 b
c f g | 1 5 b
c f g | 2 3 b
c f g | 2 4 b
c f g | 2 5 b
c f g | 3 4 b
c f g | 3 5 b
c f g | 4 5 b
c f g | 1 2 d
c f g | 1 3 d
c f g | 1 4 d
c f g | 1 5 d
c f g | 2 3 d
c f g | 2 4 d
c f g | 2 5 d
c f g | 3 4 d
c f g | 3 5 d
c f g | 4 5 d
c f g | 1 2 e
c f g | 1 3 e
c f g | 1 4 e
c f g | 1 5 e
c f g | 2 3 e
c f g | 2 4 e
c f g | 2 5 e
c f g | 3 4 e
c f g | 3 5 e
c f g | 4 5 e
d e f | 1 2 a
d e f | 1 3 a
d e f | 1 4 a
d e f | 1 5 a
d e f | 2 3 a
d e f | 2 4 a
d e f | 2 5 a
d e f | 3 4 a
d e f | 3 5 a
d e f | 4 5 a
d e f | 1 2 b
d e f | 1 3 b
d e f | 1 4 b
d e f | 1 5 b
d e f | 2 3 b
d e f | 2 4 b
d e f | 2 5 b
d e f | 3 4 b
d e f | 3 5 b
d e f | 4 5 b
d e f | 1 2 c
d e f | 1 3 c
d e f | 1 4 c
d e f | 1 5 c
d e f | 2 3 c
d e f | 2 4 c
d e f | 2 5 c
d e f | 3 4 c
d e f | 3 5 c
d e f | 4 5 c
d e f | 1 2 g
